genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_DAS_maxbin_002_fasta_contigs-contigs.fa,94.05,0.0,0.0,3814813,219559,1.0
chicken1_DAS_maxbin_003_fasta_contigs-contigs.fa,40.01,6.09,0.0,1841718,48209,0.0
chicken1_DAS_maxbin_004_fasta_contigs-contigs.fa,33.93,8.85,12.0,1514456,47857,0.0
chicken1_DAS_maxbin_006_fasta_contigs-contigs.fa,91.08,30.38,72.41,3791763,24520,0.0
chicken1_DAS_maxbin_007_fasta_contigs-contigs.fa,81.08,9.11,72.97,4867209,5939,0.0
chicken1_DAS_maxbin_008_fasta_contigs-contigs.fa,77.19,6.82,47.06,2589054,11944,0.998691
chicken1_DAS_maxbin_009_fasta_contigs-contigs.fa,66.16,5.54,36.36,2361992,15682,0.0
chicken1_DAS_maxbin_010_fasta_contigs-contigs.fa,92.62,0.0,0.0,2169643,27165,1.0
chicken1_DAS_maxbin_012_fasta_contigs-contigs.fa,73.42,2.4,20.0,1331068,54723,0.9993489
chicken1_DAS_maxbin_013_fasta_contigs-contigs.fa,73.29,0.57,40.0,2932110,20613,1.0
chicken1_DAS_maxbin_015_fasta_contigs-contigs.fa,85.17,4.87,28.57,2695346,25376,0.9999877
chicken1_DAS_maxbin_016_fasta_contigs-contigs.fa,85.32,12.26,25.81,3419220,9904,0.99990314
chicken1_DAS_maxbin_017_fasta_contigs-contigs.fa,94.46,5.74,13.04,2695461,58994,0.99998176
chicken1_DAS_maxbin_018_fasta_contigs-contigs.fa,93.96,0.67,0.0,2606398,72729,0.9999868
chicken1_DAS_maxbin_019_fasta_contigs-contigs.fa,56.98,5.34,13.64,1700953,64056,0.0
chicken1_DAS_maxbin_021_fasta_contigs-contigs.fa,79.68,1.34,0.0,2207543,84110,1.0
chicken1_DAS_maxbin_023_fasta_contigs-contigs.fa,95.75,2.02,0.0,2455186,22674,0.9999269
chicken1_DAS_maxbin_024_fasta_contigs-contigs.fa,80.95,3.4,20.0,2166808,58967,0.99999464
chicken1_DAS_maxbin_026_fasta_contigs-contigs.fa,87.42,16.98,27.59,4229834,31712,0.9999995
chicken1_DAS_maxbin_028_fasta_contigs-contigs.fa,95.88,1.12,16.67,3010924,148807,0.99999005
chicken1_DAS_maxbin_029_fasta_contigs-contigs.fa,89.56,11.29,3.7,4132637,45203,0.999855
